engine,prompt_id,run,locale,prompt,answer_text,cited_urls,collected_by,collected_at,notes
chatgpt-ui,p001,0,MY,how much does a website cost in Malaysia,,,,,
chatgpt-ui,p001,1,MY,how much does a website cost in Malaysia,,,,,
chatgpt-ui,p001,2,MY,how much does a website cost in Malaysia,,,,,
chatgpt-ui,p002,0,MY,how much does a custom website cost in Kuala Lumpur,,,,,
chatgpt-ui,p002,1,MY,how much does a custom website cost in Kuala Lumpur,,,,,
chatgpt-ui,p002,2,MY,how much does a custom website cost in Kuala Lumpur,,,,,
chatgpt-ui,p003,0,MY,berapa harga buat website untuk business di Malaysia,,,,,
chatgpt-ui,p003,1,MY,berapa harga buat website untuk business di Malaysia,,,,,
chatgpt-ui,p003,2,MY,berapa harga buat website untuk business di Malaysia,,,,,
chatgpt-ui,p004,0,MY,how long does it take to build a website for a small business,,,,,
chatgpt-ui,p004,1,MY,how long does it take to build a website for a small business,,,,,
chatgpt-ui,p004,2,MY,how long does it take to build a website for a small business,,,,,
chatgpt-ui,p005,0,MY,what should be included when paying for a business website,,,,,
chatgpt-ui,p005,1,MY,what should be included when paying for a business website,,,,,
chatgpt-ui,p005,2,MY,what should be included when paying for a business website,,,,,
chatgpt-ui,p006,0,MY,who owns my website when a web designer builds it,,,,,
chatgpt-ui,p006,1,MY,who owns my website when a web designer builds it,,,,,
chatgpt-ui,p006,2,MY,who owns my website when a web designer builds it,,,,,
chatgpt-ui,p007,0,MY,best web design studio in Kuala Lumpur,,,,,
chatgpt-ui,p007,1,MY,best web design studio in Kuala Lumpur,,,,,
chatgpt-ui,p007,2,MY,best web design studio in Kuala Lumpur,,,,,
chatgpt-ui,p008,0,MY,best web design agency in Malaysia for small business,,,,,
chatgpt-ui,p008,1,MY,best web design agency in Malaysia for small business,,,,,
chatgpt-ui,p008,2,MY,best web design agency in Malaysia for small business,,,,,
chatgpt-ui,p009,0,MY,best freelance web developer in Malaysia,,,,,
chatgpt-ui,p009,1,MY,best freelance web developer in Malaysia,,,,,
chatgpt-ui,p009,2,MY,best freelance web developer in Malaysia,,,,,
chatgpt-ui,p010,0,MY,web designer Kuala Lumpur under RM2000,,,,,
chatgpt-ui,p010,1,MY,web designer Kuala Lumpur under RM2000,,,,,
chatgpt-ui,p010,2,MY,web designer Kuala Lumpur under RM2000,,,,,
chatgpt-ui,p011,0,MY,affordable custom website design Malaysia from RM1000,,,,,
chatgpt-ui,p011,1,MY,affordable custom website design Malaysia from RM1000,,,,,
chatgpt-ui,p011,2,MY,affordable custom website design Malaysia from RM1000,,,,,
chatgpt-ui,p012,0,MY,web design company that builds 3D or WebGL websites in Malaysia,,,,,
chatgpt-ui,p012,1,MY,web design company that builds 3D or WebGL websites in Malaysia,,,,,
chatgpt-ui,p012,2,MY,web design company that builds 3D or WebGL websites in Malaysia,,,,,
chatgpt-ui,p013,0,MY,creative web studio Malaysia for a premium brand website,,,,,
chatgpt-ui,p013,1,MY,creative web studio Malaysia for a premium brand website,,,,,
chatgpt-ui,p013,2,MY,creative web studio Malaysia for a premium brand website,,,,,
chatgpt-ui,p014,0,MY,who builds e-commerce websites in Malaysia,,,,,
chatgpt-ui,p014,1,MY,who builds e-commerce websites in Malaysia,,,,,
chatgpt-ui,p014,2,MY,who builds e-commerce websites in Malaysia,,,,,
chatgpt-ui,p015,0,MY,web designer for a portfolio website Malaysia,,,,,
chatgpt-ui,p015,1,MY,web designer for a portfolio website Malaysia,,,,,
chatgpt-ui,p015,2,MY,web designer for a portfolio website Malaysia,,,,,
chatgpt-ui,p016,0,MY,web design studio that does bilingual English Bahasa Malaysia websites,,,,,
chatgpt-ui,p016,1,MY,web design studio that does bilingual English Bahasa Malaysia websites,,,,,
chatgpt-ui,p016,2,MY,web design studio that does bilingual English Bahasa Malaysia websites,,,,,
chatgpt-ui,p017,0,MY,landing page designer Malaysia fast delivery,,,,,
